episode,x,y,z
1,1.38437157869339,64.24115896224976,0.0
2,32.44200347363949,54.72325091063976,0.0
3,88.23701786994934,86.01756259985268,0.0
4,7.019315332174301,23.35408554229845,0.0
5,3.2268930673599243,0.0,0.0
6,0.0,73.80524040386081,0.0
7,3.1474011142926903,0.0,0.0
8,31.66242006421089,55.80461484193802,0.0
9,2.4631954431533813,0.0,0.0
10,3.661174952983856,0.0,0.0
11,0.0,18.846668243408203,0.0
12,2.7246541430658766,0.0,0.0
13,0.0,85.28804564476013,0.0
14,0.0,82.32888638973236,0.0
15,2.98213143351329,0.0,0.0
16,10.343423962593079,32.40482522174716,0.0
17,2.4386502203289204,0.0,0.0
18,0.0,10.674515724182129,0.0
19,10.37302602827549,8.18824027478695,0.0
20,0.0,0.0,0.0
21,3.0163913306067736,0.0,0.0
22,0.0,91.99361300468445,0.0
23,39.646060451865196,44.36052744254931,0.0
24,3.086157432905525,0.0,0.0
25,18.21931743621826,30.712153106704868,0.0
26,3.702545543773998,0.0,0.0
27,15.229797840118408,23.296154351364187,0.0
28,3.689187616333455,0.0,0.0
29,0.0,13.252316445112228,0.0
30,0.0,14.479827001690865,0.0
31,2.7040263195056222,0.0,0.0
32,3.398098945617676,0.0,0.0
33,3.2927254425963346,0.0,0.0
34,2.235100756952493,0.0,0.0
35,0.0,12.905704318865126,0.0
36,2.2427857909502342,0.0,0.0
37,2.571686311289929,0.2920318425995925,0.0
38,0.0,9.837596714496613,0.0
39,0.0,2.592512795176223,0.0
40,0.0,11.839784178222615,0.0
41,27.4864159533754,29.019313134253025,0.0
42,0.0,68.25479608867317,0.0
43,3.4790813611044817,0.41321582604196383,0.0
44,2.0418601549546853,0.0,0.0
45,2.809133529663086,0.0,0.0
46,0.0,12.170017570257187,0.0
47,0.0,10.436090404762545,0.0
48,0.0,8.771219730377197,0.0
49,3.132094929486071,0.0,0.0
50,0.0,7.973730728030205,0.0
51,2.592866320083044,0.0,0.0
52,0.0,3.0839955502999317,0.0
53,0.0,9.704469285905361,0.0
54,11.359148623737397,18.209400889677,0.0
55,0.0,7.78092348575592,0.0
56,5.826217854395509,6.416180670930075,0.0
57,0.0,4.054687738418579,0.0
58,2.105785664227903,0.0,0.0
59,3.1005276414399296,0.0,0.0
60,0.0,4.6413335502147675,0.0
61,0.006116032600402832,6.131689012050629,0.0
62,2.0060765743255615,0.0,0.0
63,2.7778816686330554,0.0,0.0
64,2.674204058682786,0.0,0.0
65,2.42123444755924,0.0,0.0
66,7.068691253662109,9.38565182685852,0.0
67,0.0,2.3394904136657715,0.0
68,2.8772682955319384,0.0,0.0
69,0.0,3.219407558441162,0.0
70,0.0,5.369621075689793,0.0
71,2.978634633551044,0.0,0.0
72,2.0395036935806274,9.180731534957886,0.0
73,0.0,0.0,0.0
74,0.0,9.399802714586258,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,2.853229466744412,0.0,0.0
78,2.324347767340975,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.11789941787719727,0.0
81,0.0,0.0,0.0
82,0.0,4.398146629333496,0.0
83,0.0,4.572064399719238,0.0
84,2.7623561403594366,0.06436703206379152,0.0
85,0.0,0.6458911895751953,0.0
86,0.0,5.0,0.0
87,0.0,0.0,0.0
88,0.0,5.5489091873168945,0.0
89,0.0,3.8703107833862305,0.0
90,3.080903735082393,0.7779757687774058,0.0
91,3.336498917696043,0.27685298210916176,0.0
92,2.5109220044095903,0.0,0.0
93,0.0,5.7586445808410645,0.0
94,0.0,0.0,0.0
95,2.7059383021876267,0.4421427694661487,0.0
96,0.0,0.40050840377807617,0.0
97,0.0,0.897181510925293,0.0
98,3.048372609747658,0.0,0.0
99,0.0,5.16234016418457,0.0
100,0.0,0.0,0.0
101,0.0,0.07647491793545669,0.0
102,0.0,0.0,0.0
103,3.339332236579268,0.0,0.0
104,3.3308374148128777,1.0078016402624188,0.0
105,0.0,5.0,0.0
106,0.0,1.6940203811163546,0.0
107,0.0,6.332268425389306,0.0
108,0.0,7.187754006054909,0.0
109,0.0,0.0,0.0
110,2.8796281891415223,0.0,0.0
111,0.0,4.551011317564615,0.0
112,3.479741337014396,0.0,0.0
113,0.0,11.38407039642334,0.0
114,0.0,13.928920079800791,0.0
115,2.1150052131657664,0.0,0.0
116,0.0,13.339776992797852,0.0
117,0.0,19.35358151354386,0.0
118,0.0,13.676782572592895,0.0
119,0.0,13.687897234994193,0.0
120,0.0,19.5376558303833,0.0
121,0.0,18.926982641220093,0.0
122,0.0,18.505096885695195,0.0
123,2.8194744592034615,0.0,0.0
124,0.0,14.015390462322515,0.0
125,2.1278087067181475,0.5737190289356853,0.0
126,0.0,13.174102037883259,0.0
127,0.0,17.987573161679524,0.0
128,3.3943630125252975,0.46588628033596535,0.0
129,0.0,17.145951809079726,0.0
130,2.08855672948534,0.0,0.0
131,3.585423582968372,0.0,0.0
132,0.0,19.219709573081783,0.0
133,2.5376073711855742,0.0,0.0
134,0.0,11.11030489902241,0.0
135,0.0,11.8201219718237,0.0
136,2.0606607579198255,0.0,0.0
137,0.0,14.448341386414057,0.0
138,0.0,10.822821521844588,0.0
139,3.524493247244748,0.0,0.0
140,0.0,13.407115695366615,0.0
141,0.0,11.622070028210963,0.0
142,0.0,15.118129226407465,0.0
143,3.630979446946684,0.0,0.0
144,0.0,15.32787619594599,0.0
145,0.0,20.0,0.0
146,3.3854743713619015,0.0,0.0
147,2.0558817675088004,0.0,0.0
148,2.586273569033234,0.4330189930408168,0.0
149,0.0,16.039481133498917,0.0
150,3.2087280909704683,0.0,0.0
151,0.0,13.443200343120445,0.0
152,0.0,20.309734463229013,0.0
153,0.0,28.236819810876817,0.0
154,0.0,24.911356955817222,0.0
155,0.0,29.05714322532225,0.0
156,2.9714583747710033,0.0,0.0
157,0.0,22.58490464584562,0.0
158,0.0,20.171790891282036,0.0
159,2.3069531966834855,0.0,0.0
160,0.0,22.578641798843883,0.0
161,0.0,25.22602073704708,0.0
162,0.0,16.304511619810086,0.0
163,0.0,16.230509775568734,0.0
164,0.0,13.544171851541442,0.0
165,0.0,12.450084005928073,0.0
166,0.0,12.145060314329214,0.0
167,0.0,13.153045796004065,0.0
168,0.0,10.635189056396484,0.0
169,0.0,12.415904521942139,0.0
170,0.0,18.270255979465816,0.0
171,0.0,15.563550819834564,0.0
172,2.2426297592674906,0.0,0.0
173,3.350762053723831,0.0,0.0
174,0.0,14.547531806560432,0.0
175,0.0,13.20846726063045,0.0
176,2.4391782920471337,0.0,0.0
177,0.0,17.18556656211387,0.0
178,0.0,22.825298070907593,0.0
179,0.0,20.96737224905336,0.0
180,0.0,20.174536281670214,0.0
181,1.8636106156342045,0.0,0.0
182,3.6381045578319204,0.0,0.0
183,0.0,22.772933731327083,0.0
184,3.522851795657079,0.0,0.0
185,3.7123073730623,0.0,0.0
186,2.6041102474578617,0.0,0.0
187,3.0925627277960333,0.0,0.0
188,2.6159359942334817,1.1467729911792341,0.0
189,3.3573113000369945,1.0292816190793097,0.0
190,0.0,22.498388509132447,0.0
191,0.0,23.058023179920884,0.0
192,0.0,25.842906570464997,0.0
193,0.0,22.67657617804656,0.0
194,0.0,26.230334453221673,0.0
195,0.0,22.88077424546803,0.0
196,1.9001706314154931,0.24449888816457155,0.0
197,0.0,28.789992737925672,0.0
198,0.0,29.513158120606043,0.0
199,0.0,30.094203802901077,0.0
200,0.0,27.640781574239433,0.0
201,0.0,25.60683363676071,0.0
202,0.0,31.22372740580401,0.0
203,0.0,32.4663143157959,0.0
204,0.0,32.97895507621772,0.0
205,0.0,27.939940473257565,0.0
