episode,reward
1,6.330527930600468
2,-28.738690486456175
3,-60.772230883247424
4,-46.80492705508349
5,-34.7367739490029
6,-21.22580052053638
7,7.499140696280637
8,-31.78156253199915
9,13.485420774141058
10,-48.83950948310255
11,-45.72055760494077
12,10.498469863606392
13,-24.872464951110995
14,-51.87066767825243
15,5.999560337608033
16,-55.756993981499626
17,7.499138960973627
18,41.46293298659928
19,-21.603680536637494
20,-27.17794413537408
21,4.4999579055464505
22,-50.42361706311226
23,-39.44538116553734
24,10.998477937347921
25,-21.130165252925202
26,7.499134914210824
27,-26.64990039579142
28,7.49921753831192
29,-15.609591913799456
30,-18.712134090106403
31,7.499564922804925
32,9.473066113083252
33,4.499924032987586
34,4.4999143915945865
35,-50.68405226834912
36,4.499915425714965
37,7.499364203985047
38,-32.6544800931555
39,-20.631089227295888
40,-12.574611158605867
41,-32.163135036029736
42,-8.659478656997834
43,10.498542598224347
44,4.499887989065344
45,-2.041209997071455
46,-18.632118212379027
47,-43.69972135105203
48,35.962168538520096
49,4.499944618753231
50,-4.588940447660594
51,10.498370191163978
52,11.94423855915511
53,-5.558693500424568
54,-39.89090008346968
55,42.46675323100224
56,-35.16504379616553
57,57.4722259484355
58,7.499084427917676
59,4.499948429389941
60,0.9104206783282555
61,48.47114696051871
62,13.99413921405456
63,11.998057002307412
64,9.49544785761436
65,4.499938810541171
66,59.47199506200132
67,20.447551074329272
68,10.498651677123654
69,31.461334879313945
70,8.43839864054841
71,8.99875039630017
72,41.96604824909297
73,52.47160552252906
74,26.46383413935512
75,60.47272681079487
76,48.46981749322731
77,4.499970433963179
78,4.499926287230576
79,46.47040163369339
80,47.46839443802389
81,47.47066532279665
82,52.47291833887155
83,54.972152707249215
84,7.499177853216542
85,59.47223149576324
86,46.96964890108505
87,43.471007224252766
88,40.970934527395734
89,34.4678879670843
90,5.4974369668156005
91,4.49992257492502
92,9.498411455910523
93,27.965328488215665
94,24.457544000116382
95,5.999654843237234
96,25.966567058256953
97,30.465491801505134
98,8.998876403168786
99,34.47015470262589
100,24.96409837729238
101,26.468335405470206
102,29.46929994851326
103,7.499352611457905
104,7.498958405225612
105,23.967029115264314
106,30.964098563682327
107,26.464819815980483
108,23.45881415889603
109,30.470820115668317
110,7.499167209096992
111,21.459172010379408
112,9.497640768793211
113,-15.55715534158574
114,-15.076224181051263
115,7.49928272775288
116,-15.592085056566598
117,-18.11452782233068
118,-19.60877113872599
119,-14.108396217578072
120,-19.114412999354972
121,-15.607698431840602
122,-15.105896310327726
123,10.998122514207438
124,-15.607869793075531
125,5.999699956551664
126,-16.60491083142714
127,-21.109013151569357
128,5.9995059631273655
129,-19.590248285935996
130,7.49891190264536
131,9.498676315740575
132,-19.11657979903326
133,5.9995518488801345
134,-19.095258595620873
135,-23.60093947249918
136,4.4998905838766055
137,-18.605932663618102
138,-14.59457370223896
139,7.499265787353869
140,-15.074620006749782
141,-20.59585333579641
142,-16.586390507354132
143,8.998674841437426
144,-33.11037682166961
145,-15.114135252201436
146,4.4999116153767735
